[Source-2/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-4] t=278s target=15k/s gen=2,957,775 (3750/s) emit=2,501,375 (3750/s) drop=456,400 (15.4%) q=0
[Source-4] t=288s target=15k/s gen=2,995,275 (4027/s) emit=2,538,875 (4027/s) drop=456,400 (15.2%) q=0
[Source-4] t=298s target=15k/s gen=3,032,775 (3750/s) emit=2,576,375 (3750/s) drop=456,400 (15.0%) q=0
[Source-4] FINALIZADO en 300.1s: generated=3,041,325, emitted=2,584,925, dropped=456,400 (15.0%)
[Source-1/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-1] t=10s target=15k/s gen=48,750 (4875/s) emit=48,750 (4875/s) drop=0 (0.0%) q=0
[Source-1] t=20s target=15k/s gen=86,250 (3750/s) emit=86,250 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=31s target=15k/s gen=123,750 (3551/s) emit=123,750 (3551/s) drop=0 (0.0%) q=0
[Source-1] t=41s target=15k/s gen=161,250 (3750/s) emit=161,250 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=51s target=15k/s gen=198,750 (3750/s) emit=198,750 (3750/s) drop=0 (0.0%) q=0
[Source-1/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-1] t=61s target=15k/s gen=233,625 (3486/s) emit=233,625 (3486/s) drop=0 (0.0%) q=0
[Source-1] t=10s target=15k/s gen=48,750 (4875/s) emit=48,750 (4875/s) drop=0 (0.0%) q=0
[Source-1] t=20s target=15k/s gen=86,325 (3757/s) emit=86,325 (3757/s) drop=0 (0.0%) q=0
[Source-1] t=30s target=15k/s gen=123,825 (3750/s) emit=123,825 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=40s target=15k/s gen=161,325 (3750/s) emit=161,325 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=50s target=15k/s gen=198,825 (3750/s) emit=198,825 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=60s target=15k/s gen=236,325 (3750/s) emit=236,325 (3750/s) drop=0 (0.0%) q=0
