[Source-3/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-2] t=235s target=15k/s gen=2,817,450 (3750/s) emit=1,310,359 (3750/s) drop=1,507,091 (53.5%) q=0
[Source-2] t=244s target=15k/s gen=2,854,950 (4052/s) emit=1,347,859 (4052/s) drop=1,507,091 (52.8%) q=0
[Source-2] t=254s target=15k/s gen=2,892,450 (3750/s) emit=1,385,359 (3750/s) drop=1,507,091 (52.1%) q=0
[Source-2] t=264s target=15k/s gen=2,929,950 (3750/s) emit=1,422,859 (3750/s) drop=1,507,091 (51.4%) q=0
[Source-2] t=273s target=15k/s gen=2,967,450 (4052/s) emit=1,460,359 (4052/s) drop=1,507,091 (50.8%) q=0
[Source-2] t=283s target=15k/s gen=3,004,950 (3750/s) emit=1,497,859 (3750/s) drop=1,507,091 (50.2%) q=0
[Source-2] t=293s target=15k/s gen=3,042,450 (3750/s) emit=1,535,359 (3750/s) drop=1,507,091 (49.5%) q=0
[Source-2] FINALIZADO en 300.0s: generated=3,067,725, emitted=1,560,634, dropped=1,507,091 (49.1%)
[Source-2] t=302s target=15k/s gen=3,067,725 (2742/s) emit=1,560,634 (2742/s) drop=1,507,091 (49.1%) q=0
[Source-1/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-4/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-1] t=10s target=15k/s gen=47,400 (4740/s) emit=47,400 (4740/s) drop=0 (0.0%) q=0
[Source-4] t=10s target=15k/s gen=47,850 (4785/s) emit=47,850 (4785/s) drop=0 (0.0%) q=0
[Source-1] t=19s target=15k/s gen=84,900 (4077/s) emit=84,900 (4077/s) drop=0 (0.0%) q=0
[Source-4] t=19s target=15k/s gen=85,350 (4078/s) emit=85,350 (4078/s) drop=0 (0.0%) q=0
[Source-1] t=29s target=15k/s gen=122,400 (3750/s) emit=122,400 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=29s target=15k/s gen=122,850 (3750/s) emit=122,850 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=39s target=15k/s gen=143,100 (2070/s) emit=143,100 (2070/s) drop=0 (0.0%) q=0
